x_m,wall_upper_m,wall_lower_m,height_m,area_m2
-1.399999999999999856e-01,7.224918026254200515e-03,-7.224918026254200515e-03,1.444983605250840103e-02,3.612459013127100257e-03
-1.383132530120481651e-01,7.224905073016315432e-03,-7.224905073016315432e-03,1.444981014603263086e-02,3.612452536508157716e-03
-1.366265060240963725e-01,7.224866231927659296e-03,-7.224866231927659296e-03,1.444973246385531859e-02,3.612433115963829648e-03
-1.349397590361445520e-01,7.224801558836153013e-03,-7.224801558836153013e-03,1.444960311767230603e-02,3.612400779418076507e-03
-1.332530120481927594e-01,7.224711146731443816e-03,-7.224711146731443816e-03,1.444942229346288763e-02,3.612355573365721908e-03
-1.315662650602409389e-01,7.224595125609720864e-03,-7.224595125609720864e-03,1.444919025121944173e-02,3.612297562804860432e-03
-1.298795180722891462e-01,7.224453662284724062e-03,-7.224453662284724062e-03,1.444890732456944812e-02,3.612226831142362031e-03
-1.281927710843373258e-01,7.224286960145278290e-03,-7.224286960145278290e-03,1.444857392029055658e-02,3.612143480072639145e-03
-1.265060240963855331e-01,7.224095258859678306e-03,-7.224095258859678306e-03,1.444819051771935661e-02,3.612047629429839153e-03
-1.248192771084337266e-01,7.223878834027373623e-03,-7.223878834027373623e-03,1.444775766805474725e-02,3.611939417013686811e-03
-1.231325301204819200e-01,7.223637996778536213e-03,-7.223637996778536213e-03,1.444727599355707243e-02,3.611818998389268107e-03
-1.214457831325301135e-01,7.223373093322011523e-03,-7.223373093322011523e-03,1.444674618664402305e-02,3.611686546661005762e-03
-1.197590361445783069e-01,7.223084504442469841e-03,-7.223084504442469841e-03,1.444616900888493968e-02,3.611542252221234921e-03
-1.180722891566264865e-01,7.222772644947400740e-03,-7.222772644947400740e-03,1.444554528989480148e-02,3.611386322473700370e-03
-1.163855421686746938e-01,7.222437963064842238e-03,-7.222437963064842238e-03,1.444487592612968448e-02,3.611218981532421119e-03
-1.146987951807228734e-01,7.222080939792758884e-03,-7.222080939792758884e-03,1.444416187958551777e-02,3.611040469896379442e-03
-1.130120481927710807e-01,7.221702088201028928e-03,-7.221702088201028928e-03,1.444340417640205786e-02,3.610851044100514464e-03
-1.113253012048192603e-01,7.221301952687092691e-03,-7.221301952687092691e-03,1.444260390537418538e-02,3.610650976343546346e-03
-1.096385542168674676e-01,7.220881108186391444e-03,-7.220881108186391444e-03,1.444176221637278289e-02,3.610440554093195722e-03
-1.079518072289156472e-01,7.220440159338786801e-03,-7.220440159338786801e-03,1.444088031867757360e-02,3.610220079669393400e-03
-1.062650602409638545e-01,7.219979739612196641e-03,-7.219979739612196641e-03,1.443995947922439328e-02,3.609989869806098321e-03
-1.045783132530120341e-01,7.219500510384779801e-03,-7.219500510384779801e-03,1.443900102076955960e-02,3.609750255192389901e-03
-1.028915662650602414e-01,7.219003159987013966e-03,-7.219003159987013966e-03,1.443800631997402793e-02,3.609501579993506983e-03
-1.012048192771084210e-01,7.218488402705157750e-03,-7.218488402705157750e-03,1.443697680541031550e-02,3.609244201352578875e-03
-9.951807228915661441e-02,7.217956977747495145e-03,-7.217956977747495145e-03,1.443591395549499029e-02,3.608978488873747573e-03
-9.783132530120480785e-02,7.217409648175009476e-03,-7.217409648175009476e-03,1.443481929635001895e-02,3.608704824087504738e-03
-9.614457831325300130e-02,7.216847199797970895e-03,-7.216847199797970895e-03,1.443369439959594179e-02,3.608423599898985448e-03
-9.445783132530119475e-02,7.216270440040178230e-03,-7.216270440040178230e-03,1.443254088008035646e-02,3.608135220020089115e-03
-9.277108433734938819e-02,7.215680196772450254e-03,-7.215680196772450254e-03,1.443136039354490051e-02,3.607840098386225127e-03
-9.108433734939758164e-02,7.215077317117168758e-03,-7.215077317117168758e-03,1.443015463423433752e-02,3.607538658558584379e-03
-8.939759036144577509e-02,7.214462666225587330e-03,-7.214462666225587330e-03,1.442892533245117466e-02,3.607231333112793665e-03
-8.771084337349396853e-02,7.213837126029733378e-03,-7.213837126029733378e-03,1.442767425205946676e-02,3.606918563014866689e-03
-8.602409638554216198e-02,7.213201593970737860e-03,-7.213201593970737860e-03,1.442640318794147572e-02,3.606600796985368930e-03
-8.433734939759035543e-02,7.212556981705484441e-03,-7.212556981705484441e-03,1.442511396341096888e-02,3.606278490852742220e-03
-8.265060240963854887e-02,7.211904213793400402e-03,-7.211904213793400402e-03,1.442380842758680080e-02,3.605952106896700201e-03
-8.096385542168674232e-02,7.211244226365428472e-03,-7.211244226365428472e-03,1.442248845273085694e-02,3.605622113182714236e-03
-7.927710843373493577e-02,7.210577965777015784e-03,-7.210577965777015784e-03,1.442115593155403157e-02,3.605288982888507892e-03
-7.759036144578312921e-02,7.209906387247139170e-03,-7.209906387247139170e-03,1.441981277449427834e-02,3.604953193623569585e-03
-7.590361445783132266e-02,7.209230453485355669e-03,-7.209230453485355669e-03,1.441846090697071134e-02,3.604615226742677835e-03
-7.421686746987951611e-02,7.208551133308818519e-03,-7.208551133308818519e-03,1.441710226661763704e-02,3.604275566654409260e-03
