t_s,phase,x_m,h_m,V_mps,gamma_rad,m_kg,Mach,alpha_deg,phi,q_Pa,CL,CD,L_N,D_N,T_N,mdot_fuel_kgs,M4,Tt4_K,unstart_flag
0.0,cruise,0.0,19000.0,1416.3462246284275,0.0,783.0,4.8,2.0,0.0,103371.1742713164,0.050800000000000005,0.3869550702308241,525.1255652982875,4000.0,0.0,0.0,0.0,0.0,0.0
1.0,cruise,1414.67479843584,18995.653769993904,1413.9261422843151,-0.00613044795679774,782.8506139477031,4.791798336416798,2.0,0.4,103088.8525137787,0.05083280665433281,0.38801479524329424,524.0295708049944,4000.0,4150.0077215001065,0.29730252186309974,0.2401375399230433,1851.405782704724,0.0
2.0,cruise,2828.6753140626206,18982.694784814696,1414.2101873233353,-0.012197810349173327,782.5529717669791,4.792760965584433,2.0,0.4,103341.25175309101,0.05082895613766227,0.38706711329150867,525.2727952568978,4000.0,4160.939025712875,0.29805844251646385,0.2401170572386751,1851.6872499568515,0.0
3.0,cruise,4242.893205937107,18961.154607441265,1414.5715821365761,-0.018261087966492097,782.2543432451615,4.793985733281337,2.0,0.4,103745.89033416178,0.05082405706687465,0.38555744108187257,527.2787050797158,4000.0,4178.437566050386,0.2992758187047345,0.24009102302399352,1852.0457076134626,0.0
4.0,cruise,5657.358055172797,18931.03522009649,1415.0187231519087,-0.02431877559907201,781.9542650362833,4.795501095017243,2.0,0.4,104305.74765307207,0.05081799561993103,0.38348797549529756,530.0609027367449,4000.0,4202.569580112019,0.3009584790129961,0.24005883012666737,1852.4894544648796,0.0
5.0,cruise,7072.107994167218,18892.33937793392,1415.5600883165528,-0.030369315011976903,781.652269813735,4.797335782571109,2.0,0.4,105024.51779568495,0.050810656869715566,0.3808634482646817,533.6364736623884,4000.0,4233.406867785301,0.30311056506816675,0.24001986559924518,1853.0268713436171,0.0
6.0,cruise,8487.189824682395,18845.070482712723,1416.2042446210787,-0.036411092165986786,781.3478859302786,4.799518829489976,2.0,0.4,105906.64849502004,0.050801924682040096,0.3776911135270311,538.0261580171303,4000.0,4271.02770847139,0.3057365855927861,0.23997351017030577,1853.6664287835251,0.0
7.0,cruise,9901.739782487784,18789.233329586932,1414.2022131240396,-0.0425151708734715,781.194839797586,4.79273394100813,2.0,0.4,106541.46264068513,0.05082906423596748,0.3754406876776361,541.5402848357314,4000.0,4297.868277558599,0.3078140311582367,0.24011862833376166,1851.6923496524096,0.0
8.0,cruise,11314.890142526296,18724.84302914295,1415.055950497035,-0.048549220527264486,780.8852815478512,4.7956272585593895,2.0,0.4,107758.8211766572,0.05081749096576244,0.3711993093764914,547.6032921625989,4000.0,4348.981469201622,0.3113833948276602,0.24005720012602683,1852.5401139451208,0.0
9.0,cruise,12728.542913215686,18651.889168241265,1416.0384760320662,-0.05456940346144852,780.5719101367602,4.798957039432275,2.0,0.4,109157.15233732061,0.0508041718422709,0.3664441508733283,554.5638725158179,4000.0,4407.13313030975,0.31544138305116964,0.23998650212509007,1853.515727856522,0.0
10.0,cruise,14141.828768869655,18570.394777095487,1414.3018197595288,-0.06064919874861256,780.4137943334649,4.793071508081798,2.0,0.4,110298.01513040587,0.05082771396767281,0.36265385150138746,560.6195964250318,4000.0,4453.475554648861,0.31889099319906333,0.24011254774454274,1851.805439440909,0.0
11.0,cruise,15553.87215849048,18480.3934037621,1415.5451066883954,-0.06665140060055083,780.0924318643649,4.797285009805309,2.0,0.4,112071.4415207647,0.05081085996077877,0.35691519139234734,569.4446320714183,4000.0,4525.573996645514,0.32391798042914294,0.24002307754971963,1853.0398675856145,0.0
12.0,cruise,16966.668009469,18381.83995383161,1415.9603864270834,-0.07265826419340454,779.8206978608137,4.7986923936151715,2.0,0.4,113893.64490011593,0.05080523042553932,0.351204845846138,578.6392873154941,4000.0,4598.331468977198,0.3290622805138725,0.23999354833438089,1853.4568330386742,0.0
13.0,cruise,18378.34300686667,18274.81287438953,1414.5236951976258,-0.07870342221750229,779.6555581272825,4.793823444355815,2.0,0.4,115597.3384318293,0.050824706222576746,0.3460287281924663,587.5200765909505,4000.0,4664.33195259543,0.33389198455320906,0.2400980189444023,1852.0445055644436,0.0
14.0,cruise,19788.982136606744,18159.327275429452,1416.227264720772,-0.0846620509822725,779.3184463151252,4.799596844650822,2.0,0.4,118005.61931145929,0.050801612621396715,0.33896690880817804,599.4875759408767,4000.0,4758.180808368585,0.34041970671221017,0.23997539684610336,1853.7355802529182,0.0
15.0,cruise,21199.66553107368,18035.349954325324,1415.0107286734908,-0.09067652571746178,779.1474871110046,4.795474001714957,2.0,0.4,120128.82808967025,0.05081810399314018,0.3329758612990211,610.4719278434923,4000.0,4837.469597791478,0.3461793946518599,0.24006402599907406,1852.5418525876682,0.0
16.0,cruise,22609.471073712277,17902.947851478606,1415.9868180273031,-0.09662424155491137,778.8575353975814,4.7987819703576715,2.0,0.4,122832.75214969918,0.050804872118569315,0.32564604553719556,624.0502264937387,4000.0,4869.593129379088,0.348374927295865,0.23999361246157733,1853.5087636592743,0.0
