t_s,phase,x_m,h_m,V_mps,gamma_rad,m_kg,Mach,alpha_deg,phi,q_Pa,CL,CD,L_N,D_N,T_N,mdot_fuel_kgs,M4,Tt4_K,unstart_flag
0.0,cruise,0.0,19000.0,1416.3462246284275,0.0,808.0,4.8,29.999385843196734,0.8,103371.1742713164,0.7619844004171971,0.08927442717749864,7876.722224755063,922.8402369737158,7418.7394793662315,0.7009120306982468,0.27493090637188117,2338.5184170996736,0.0
1.0,cruise,1419.7450525750291,19002.472795430585,1423.1461374729836,0.003489082794843494,807.2974128313284,4.823044917327635,29.568443869845805,0.7896297872025644,104325.44136300283,0.7496756696051087,0.08697249839976126,7821.024511065764,907.3444281998151,7431.363204693858,0.7040535341258352,0.273914727729591,2340.1616437146195,0.0
2.0,cruise,2844.9603656589316,19009.09792178209,1425.9764259130757,0.005280337020961596,806.9456001608999,4.8326367701360855,29.342538779596108,0.0,104631.43517909868,0.7433851936150235,0.08581667521991727,7778.145969883207,897.912189055854,0.0,0.0,0.0,0.0,0.0
3.0,cruise,4270.334462158694,19016.724775887298,1426.148447884075,0.005945232200533952,806.8283810881928,4.833219752917018,29.2613215870449,0.0,104530.88035984372,0.7412934605646464,0.08544226010235802,7748.805803781758,893.1354668434235,0.0,0.0,0.0,0.0,0.0
4.0,cruise,5695.875001819525,19025.282741019186,1426.3195699345335,0.006583254254680852,806.7112961521198,4.833799685865557,29.17643922133197,0.0,104414.95433881994,0.739109247261119,0.08505249846883109,7717.405830416933,888.0752744025552,0.0,0.0,0.0,0.0,0.0
5.0,cruise,7121.58104809681,19034.73245884462,1426.4902769166638,0.007192515737949394,806.5943606972728,4.834378212146757,29.088184882796305,0.0,104284.42669486642,0.7368398964412964,0.08464882932207417,7684.0926166285335,882.7554636244103,0.0,0.0,0.0,0.0,0.0
6.0,cruise,8547.452236349074,19045.031958941167,1425.3268815783001,0.007250525043843601,806.5943606972728,4.830435463172641,29.07021580295023,0.0,103945.42604685758,0.736613950429953,0.08462070704664462,7656.765090950031,879.5935446349799,0.0,0.0,0.0,0.0,0.0
7.0,cruise,9973.48519151134,19056.149588537344,1428.1584705370037,0.008855654137435569,806.244600086057,4.840031723441096,28.828931975402764,0.0,104176.03044444554,0.7299467285113472,0.08341857200540692,7604.295261222154,869.0215696867444,0.0,0.0,0.0,0.0,0.0
8.0,cruise,11401.006168718128,19068.787798121146,1426.9959242246878,0.008846698941625705,806.244600086057,4.836091851817842,28.801648899994,0.0,103799.41393778891,0.7294828723714315,0.08334915577453937,7571.989462980947,865.1593521606662,0.0,0.0,0.0,0.0,0.0
9.0,cruise,12827.367418162215,19081.382728613225,1425.8383824892987,0.00880938667236856,806.244600086057,4.832168940715138,28.776093292015183,0.0,103425.45359809638,0.7290613767389374,0.08328715210415157,7540.350359007724,861.4011485265524,0.0,0.0,0.0,0.0,0.0
10.0,cruise,14252.574366571134,19093.894453879733,1426.0149237675732,0.009256572237522962,806.1287065475727,4.832767239436865,28.679259247501705,0.0,103247.14862573033,0.7265737045772737,0.0828508200636666,7501.666326403726,855.4110932877027,0.0,0.0,0.0,0.0,0.0
11.0,cruise,15677.953851771323,19107.02179909038,1426.1934636178958,0.009668353851213417,806.0130246191106,4.833372311322995,28.580826863176878,0.0,103059.43092812996,0.7240453858207996,0.08240888955343786,7461.970542882991,849.3013260796421,0.0,0.0,0.0,0.0,0.0
12.0,cruise,17103.508345350325,19120.713853249483,1426.374395945794,0.01004381631298022,805.8975638981346,4.833985491320095,28.48110742370429,0.0,102863.2355490999,0.721484239703819,0.08196278450295945,7421.42032936172,843.0957208588035,0.0,0.0,0.0,0.0,0.0
13.0,cruise,18529.24077487145,19134.918485511636,1425.2328170633368,0.009877708864121508,805.8975638981346,4.830116678355785,28.453334070300794,0.0,102468.85637568051,0.7210008455649503,0.08189071628157743,7388.01320909391,839.124804515856,0.0,0.0,0.0,0.0,0.0
14.0,cruise,19955.150758765354,19149.59454993726,1428.0618914802503,0.011203409454599434,805.552543897583,4.839704416837417,28.20567312688132,0.0,102638.23703614547,0.7141843178167663,0.08068799552733573,7330.261929957511,828.167361090613,0.0,0.0,0.0,0.0,0.0
15.0,cruise,21382.557297477448,19165.416959904513,1426.9275638029123,0.010961004490981863,805.552543897583,4.835860178220796,28.172865067219867,0.0,102219.87119684908,0.7135702047827828,0.08059431192378672,7294.105442280528,823.8340184048157,0.0,0.0,0.0,0.0,0.0
16.0,cruise,22808.83752237679,19180.858418861637,1425.801091699833,0.010686870113964183,805.552543897583,4.832042562160006,28.143697834928133,0.0,101810.3199664414,0.7130463326325983,0.08051608101121574,7259.547527622244,819.7367970195792,0.0,0.0,0.0,0.0,0.0
17.0,cruise,24233.99965899463,19195.875338707545,1426.000271043516,0.010877162654586096,805.4383906248531,4.832717581327674,28.04561919029087,0.0,101597.88103895883,0.7105235577799016,0.08008309439524208,7218.768789870024,813.6272697599517,0.0,0.0,0.0,0.0,0.0
18.0,cruise,25659.361193406177,19211.141040121234,1426.203623547432,0.011030241661783912,805.3244839194417,4.833406743343164,27.947941988546685,0.0,101382.497156393,0.7080104270591238,0.07965323154890364,7177.986510801821,807.5443521004236,0.0,0.0,0.0,0.0,0.0
19.0,cruise,27084.926995734226,19226.602599620015,1426.411422697232,0.011146126996793201,805.2108269912623,4.8341109750498585,27.85093686201687,0.0,101165.07180641747,0.7055137510703976,0.07922762542878117,7137.334928745171,801.5068415554595,0.0,0.0,0.0,0.0,0.0
20.0,cruise,28510.702218267925,19242.20718700158,1425.3110523099563,0.010738268296643556,805.2108269912623,4.8303818177526665,27.827273313307508,0.0,100760.78747955088,0.7051218558652936,0.0791724743410119,7104.863346602937,797.7480861304897,0.0,0.0,0.0,0.0,0.0
21.0,cruise,29936.68845549119,19257.913930134077,1428.1457934658047,0.011769436560291571,804.8713139046024,4.839988760823131,27.587150381466433,0.0,100911.72037661643,0.698507267772455,0.07802952209324342,7048.757008648831,787.4093314594394,0.0,0.0,0.0,0.0,0.0
22.0,cruise,31364.19417138807,19274.37490381538,1427.0568342785557,0.011288021702391167,804.8713139046024,4.836298276104137,27.562277138949035,0.0,100496.67119156806,0.6980809130380089,0.0779691405094452,7015.480798269041,783.5639076866885,0.0,0.0,0.0,0.0,0.0
23.0,cruise,32790.62374429492,19290.115707290475,1425.9774224579132,0.010777343990160127,804.8713139046024,4.8326401474284015,27.542594359240997,0.0,100095.92006837751,0.6977839080438288,0.07793036543670502,6984.532228455519,780.0511629651877,0.0,0.0,0.0,0.0,0.0
24.0,cruise,34215.98671424523,19305.097224635098,1426.2118669348702,0.010716828723290443,804.7590091636044,4.833434680198585,27.456011390579526,0.0,99892.55256326513,0.6955467233999746,0.07755392529129713,6947.993762743879,774.7059558648435,0.0,0.0,0.0,0.0,0.0
25.0,cruise,35641.58883772451,19319.973078494797,1426.4518338236899,0.010623175022636225,804.6469422843795,4.834247928432884,27.371421443426666,0.0,99692.02591271779,0.6933592756976358,0.07718690643821535,6912.239087967195,769.4919076761089,0.0,0.0,0.0,0.0,0.0
26.0,cruise,37067.43619133682,19334.69653810226,1425.396436069637,0.010024583307814274,804.6469422843795,4.830671183473661,27.36099257989808,0.0,99313.69761680384,0.6932908234825322,0.07718624636058954,6885.327520384913,766.5651531231716,0.0,0.0,0.0,0.0,0.0
27.0,cruise,38493.531190652415,19349.233750294312,1428.2415968714915,0.010827991754076834,804.3121018736992,4.840313438743896,27.136591336248717,0.0,99482.23679535335,0.6870814813156134,0.07612877511979121,6835.240262194201,757.3460833407275,0.0,0.0,0.0,0.0,0.0
28.0,cruise,39921.17208460098,19364.223097425474,1427.199204770516,0.01016627274786688,804.3121018736992,4.8367807699672385,27.127418016528445,0.0,99102.53930075289,0.6870408829760805,0.07613267867576456,6808.7496106360995,754.494178053655,0.0,0.0,0.0,0.0,0.0
29.0,cruise,41347.78541563259,19378.24073956672,1426.1668426680503,0.009481170112364993,804.3121018736992,4.833282092874259,27.12431066537759,0.0,98740.70397612224,0.6871519832471601,0.07616149549103787,6784.987056441314,752.0239680659339,0.0,0.0,0.0,0.0,0.0
30.0,cruise,42773.38071452542,19391.256502083797,1426.4372935243764,0.009239820654270833,804.2012518946741,4.834198651331359,27.055521561519775,0.0,98575.61417534722,0.6853597229656614,0.0758635580296341,6755.975562238589,747.8296826298275,0.0,0.0,0.0,0.0,0.0
31.0,cruise,44199.25345054429,19403.913456835577,1425.4222225407682,0.008509672308443508,804.2012518946741,4.830758573872475,27.06127656368384,0.0,98239.08754726328,0.6856916921690345,0.07592849588353864,6736.172617742488,745.9146154434973,0.0,0.0,0.0,0.0,0.0
32.0,cruise,45625.40620821146,19416.18722736759,1428.2796752681913,0.009159311430177524,803.869868069535,4.8404424865014155,26.85461245330151,0.0,98442.6220882432,0.6799350217105716,0.07495606859032242,6693.4586386815245,737.8871933457547,0.0,0.0,0.0,0.0,0.0
33.0,cruise,47053.12903629508,19428.709708293653,1427.2775876116186,0.008378876312068862,803.869868069535,4.837046409562099,26.862964246636704,0.0,98110.59517522021,0.6803289391135064,0.0750305566187508,6674.747713135227,736.1292566193698,0.0,0.0,0.0,0.0,0.0
34.0,cruise,48479.86413603479,19440.097984763026,1426.2852877415712,0.007581823913930755,803.869868069535,4.833683503449593,26.87776012375934,0.0,97798.42480507294,0.6808844328917953,0.07513138280417703,6658.942501111298,734.7730891675457,0.0,0.0,0.0,0.0,0.0
