t_s,phase,x_m,h_m,V_mps,gamma_rad,m_kg,Mach,alpha_deg,phi,q_Pa,CL,CD,L_N,D_N,T_N,mdot_fuel_kgs,M4,Tt4_K,unstart_flag
0.0,cruise,0.0,19000.0,1180.2885205236896,0.0,808.0,4.0,35.0,0.9,71785.53768841416,0.9450000000000001,0.129163,6783.733311555138,927.2035404448638,132.50869226022405,0.06641617809282728,0.20620595127420094,1091.5862306366134,0.0
1.0,cruise,1179.7834082492823,18999.47789472296,1179.280228086407,-0.0008869324039730916,807.9335829447956,3.9965828950472715,35.0,0.9,71668.84140140552,0.945239197346691,0.1292275081389322,6774.419812103185,926.1585785507972,132.3977241845425,0.06641881146862129,0.20620408112370545,1091.5685024986333,0.0
2.0,cruise,2358.562406032841,18997.90487840141,1178.2815136431252,-0.0017836131589923543,807.8671606100244,3.993198249934096,35.0,0.9,71565.25291474724,0.9454761225046133,0.12929141703736075,6766.32378318972,925.2772959984783,132.0633958375697,0.06642674539169564,0.20619844667145495,1091.5150905688556,0.0
3.0,cruise,3536.345442721541,18995.2719118848,1177.2920363657383,-0.0026889002797459705,807.8007276717761,3.9898449095933874,35.0,0.9,71474.77918555246,0.945710856328463,0.12935474812452158,6759.447462945662,924.5602058802937,131.5037860413637,0.06644002545339238,0.20618901553974214,1091.4256879220015,0.0
4.0,cruise,4713.140597445735,18991.571306276717,1176.3114418049138,-0.0036016478085255143,807.7342787639542,3.986521672795695,35.0,0.9,71397.41702417698,0.9459434829043014,0.12941752372350734,6753.792133022083,924.0076911523571,130.71726060052924,0.0664586904346903,0.20617576018739078,1091.3000334808082,0.0
5.0,cruise,5888.955570380817,18986.796723445805,1175.3393623057018,-0.004520706731226148,807.6678084850871,3.9832272935577078,35.0,0.9,71333.15328208273,0.9461740894509605,0.12947976702512937,6749.358135434042,923.6200068131914,129.70247241081194,0.06648277230362809,0.2061586579115859,1091.1379120333781,0.0
6.0,cruise,7063.797674547874,18980.943175629123,1174.3754174297303,-0.00544492587861433,807.6013114051415,3.9799604825730723,35.0,0.9,71281.96501029895,0.9464027662198851,0.12954150206131884,6746.1448867335985,923.39728173165,128.45836137479526,0.06651229621730488,0.2061376908464531,1090.9391542197116,0.0
7.0,cruise,8237.673828115341,18974.00702413963,1173.4192143840935,-0.006373152815243182,807.5347820723297,3.9767199086658973,35.0,0.9,71243.81958861867,0.9466296063933872,0.1296027536780622,6744.150889513559,923.339520122805,126.98415412718924,0.0665472805283993,0.2061128459584286,1090.7036364878188,0.0
8.0,cruise,9410.590547187674,18965.985977185977,1172.4703484570728,-0.007304234718420391,807.4682150199092,3.9735042002674126,35.0,0.9,71218.67482579968,0.9468547059812812,0.12966354750786557,6743.373741255903,923.4466026722307,125.27936357144957,0.06658773679616604,0.2060841150384502,1090.4312810196905,0.0
9.0,cruise,10582.553939067086,18956.879086809164,1171.528403460846,-0.008237019249646312,807.4016047729685,3.970311946916312,35.0,0.9,71206.47903116627,0.9470781637158582,0.12972390994173927,6743.810140550871,923.718287310736,123.34378822869766,0.06663366980188655,0.20605149469098433,1090.1220556272817,0.0
10.0,cruise,11753.569695974646,18946.686744937215,1170.592952181368,-0.009170355420941249,807.3349458551962,3.967141700783399,35.0,0.9,71207.17105813399,0.947300080945162,0.1297838681006951,6745.455890724633,924.1542096432495,121.17751139918076,0.0666850775687684,0.20601498631989418,1089.775973618549,0.0
11.0,cruise,12923.643089217181,18935.410678555516,1169.6635568356155,-0.010103094458470721,807.2682327956262,3.96399197822119,35.0,0.9,71220.6803203007,0.9475205615245167,0.12984344980674467,6748.305900924942,924.7538830371172,118.78090013577753,0.06674195138630487,0.2059745961111402,1089.3930936334573,0.0
12.0,cruise,14092.778963786783,18923.05394398722,1168.7397695364093,-0.01103409066585612,807.2014601353583,3.9608612613391982,35.0,0.9,71246.9267808678,0.9477397117062561,0.1299026835533893,6752.354184725638,925.5166983766567,116.15460402835761,0.06680427583912331,0.2059303350122927,1088.9735194497712,0.0
13.0,cruise,15260.981733379977,18909.620920274825,1167.821132765038,-0.011962202289525605,807.1346224342461,3.9577479996056564,35.0,0.9,71285.8209162759,0.9479576400276041,0.12996159847558758,6757.593856322333,926.4419234923693,113.29955379710526,0.06687202884036689,0.20588221870882523,1088.5173997583258,0.0
14.0,cruise,16428.255375824054,18895.11730165098,1166.9071798519121,-0.0128862923884161,807.0677142775506,3.9546506114764544,35.0,0.9,71337.26365505619,0.9481744571966483,0.13002022431918966,6764.01712440271,927.5287022747582,110.21695969226471,0.06694518166967002,0.20583026759714534,1088.0249279073719,0.0
15.0,cruise,17594.603428898463,18879.55008908349,1165.9974354654876,-0.013805229710282394,807.0007302825519,3.9515674860521015,35.0,0.9,71401.14629301915,0.948390275976353,0.13007859140982406,6771.615283786438,928.7760534842712,106.90830969712181,0.06702369901580339,0.2057745067543093,1087.496341615486,0.0
16.0,cruise,18760.02898653962,18862.927580876734,1165.0914161096991,-0.014717889576802777,806.9336651051175,3.9484969847635303,35.0,0.9,71477.35038602087,0.948605211066553,0.13013673062122377,6780.37870494093,930.1828692704424,103.37536753043005,0.06710753902407823,0.2057149659043569,1086.9319226524406,0.0
17.0,cruise,19924.534695418046,18845.259362308952,1164.18863063014,-0.01562315477959289,806.8665134462195,3.945437443087539,35.0,0.9,71565.74762166667,0.9488193789838723,0.1301946733429783,6790.2968214906305,931.7479134148917,99.62017044392296,0.06719665334861338,0.20565167938119294,1086.3319964873367,0.0
18.0,cruise,21088.12275187728,18826.556294282287,1163.2885807292255,-0.01651991648915004,806.7992700583981,3.942387172292682,35.0,0.9,71666.19967143389,0.9490328979395124,0.13025245144769823,6801.358115849264,933.4698193144491,95.64502681000005,0.06729098720958171,0.20558468608793215,1085.6969319032153,0.0
19.0,cruise,22250.794899224602,18806.83050096019,1162.3907614905659,-0.017407075178648944,806.7319297521643,3.9393444612163724,35.0,0.9,71778.5580248178,0.949245887714854,0.1303100972575782,6813.550103116033,935.3470877222728,91.45251349418362,0.06739047945556421,0.2055140294526173,1085.027140577284,0.0
20.0,cruise,23412.552425364305,18786.09535636456,1161.4946619127666,-0.018283541564396624,806.6644874023386,3.93630757807393,35.0,0.9,71902.66380722764,0.9494584695348249,0.13036764351034766,6826.859313388741,937.378084266503,87.04547300647992,0.06749506263115088,0.2054397573802108,1084.3230766258216,0.0
21.0,cruise,24573.39616076484,18764.365469903034,1160.5997654528562,-0.019148237564628724,806.5969379543186,3.9332747723002592,35.0,0.9,72038.34758348667,0.9496707659389819,0.13042512332459513,6841.27127265884,939.56103676763,82.42701042535417,0.06760466304993759,0.20536192220075442,1083.585236112756,0.0
22.0,cruise,25733.326476751987,18741.65667079515,1159.7055505795258,-0.020000097278191555,806.5292764302711,3.9302442764247805,35.0,0.9,72185.42914891463,0.9498829006502654,0.13048257016445708,6856.770482465524,941.8940323774698,77.60049008767265,0.0677192008730769,0.20528058061358456,1082.8141565208525,0.0
23.0,cruise,26892.3432841209,18717.9859913645,1158.811491336341,-0.02083806798450353,806.4614979352435,3.9272143079801562,35.0,0.9,72343.71731010066,0.9500949984413891,0.1305400178036607,6873.340398498439,944.3750145643538,72.56953203762329,0.06783859019354845,0.20519579362748588,1082.0104161843974,0.0
24.0,cruise,28050.44603206071,18693.37164916288,1157.9170579150614,-0.021661111166026124,806.3935976631868,3.9241830714452695,35.0,0.9,72513.00965760072,0.9503071849988312,0.1305975002889125,6890.96340835076,947.0017799708426,67.33800822738664,0.06796273912632053,0.20510762649666098,1081.1746336822214,0.0
25.0,cruise,29207.633707386205,18667.833027891244,1157.0217172391722,-0.022468203554297857,806.3255709028862,3.921148760222817,35.0,0.9,72693.09233292419,0.9505195867844028,0.13065505190262658,6909.620808637155,949.7719751720638,61.91003846208518,0.06809154990458036,0.20501614865239032,1080.3074671898692,0.0
26.0,cruise,30363.90483407198,18641.390657081807,1156.124933557699,-0.023258338200394822,806.257413043792,3.9181095586517465,35.0,0.9,72883.73979229965,0.9507323308943778,0.13071270712498756,6929.292781703236,952.6830933644666,56.28998608142226,0.06822491898221264,0.2049214336302548,1079.4096137897031,0.0
27.0,cruise,31519.25747308538,18614.066190504986,1155.2261690493374,-0.024030525570478137,806.1891195817454,3.9150636440546513,35.0,0.9,73084.71456983886,0.9509455449161746,0.13077050059534648,6949.958372165851,955.7324710165841,50.482453370300576,0.06836273714270996,0.20482355899279076,1078.481808737708,0.0
28.0,cruise,32673.68922251555,18585.88238326493,1154.3248844368861,-0.02478379466687192,806.1206861245914,3.912009188820091,35.0,0.9,73295.76704284023,0.9511593567825937,0.130828467072949,6971.595463535475,958.9172845150765,44.49227669071552,0.0685048896146975,0.2047226062474472,1077.524824685768,0.0
29.0,cruise,33827.19721799677,18556.86306754751,1153.4205396119291,-0.025517194174885387,806.0521083976731,3.9089443625196347,35.0,0.9,73516.63520209512,0.9513738946236256,0.13088664139700015,6994.1807551841575,962.2345468410703,38.32452132724094,0.06865125619425438,0.20461866075971696,1076.5394708581878,0.0
30.0,cruise,34979.77813342548,18527.033126985258,1152.5125942696548,-0.026229793635349316,805.9833822492003,3.9058673340592662,35.0,0.9,73747.04443017712,0.9515892866158514,0.13094505844607,7017.689739933974,965.6811043134463,31.98447603855996,0.068801711374211,0.20451181166131288,1075.5265921812495,0.0
31.0,cruise,36131.42818197126,18496.41846960461,1151.600508553651,-0.026920684642580694,805.9145036554847,3.902776273864598,35.0,0.9,73986.70729080381,0.9518056608294782,0.13100375309685097,7042.096682552069,969.2536334373447,25.477647307685125,0.06895612448059661,0.20440215175326698,1074.487068364636,0.0
32.0,cruise,37282.14311738317,18465.04599932213,1150.6837437104518,-0.02758898206722029,805.8454687260363,3.8996693560991265,35.0,0.9,74235.3233324653,0.9520231450730612,0.13106276018227897,7067.374599448922,972.9486378976839,18.80975328377224,0.06911435981640572,0.2042897774038312,1073.4218129335804,0.0
33.0,cruise,38431.9182355941,18432.943585958015,1149.7617627535487,-0.02823382530310641,805.7762737085105,3.8965447609145727,35.0,0.9,74492.57890960708,0.95224186673598,0.13112211444903515,7093.495239886154,976.7624457389282,11.986717408803159,0.0692762768128429,0.20417478844106773,1072.331772210673,0.0
34.0,cruise,39580.74837662663,18400.140033737258,1148.8340311365114,-0.028854379537054952,805.7069149935018,3.8934006767320857,35.0,0.9,74758.147024739,0.952461952628754,0.1311818505144492,7120.429069009038,980.6912067736527,5.014661722832784,0.06944173018819545,0.2040572880400219,1071.2179242463133,0.0
35.0,cruise,40728.62792680529,18366.665048251296,1147.9000174347918,-0.029449837040111903,805.6373891191735,3.8902353025528806,35.0,0.9,75031.68719491271,0.9526835288212985,0.13124200282282958,7148.145253026528,984.73089026364,-2.1001001579702674,0.06961057011447103,0.20393738260438088,1070.0812776968914,0.0
36.0,cruise,41875.55082128114,18332.549201855843,1146.9591940357088,-0.030019418478530128,805.5676927757178,3.8870468502965947,35.0,0.9,75312.84534606645,0.9529067204792384,0.1313026056012499,7176.611646868026,988.8772829182492,-9.35107039565679,0.06978264239192289,0.20381518164253054,1068.9228706498661,0.0
37.0,cruise,43021.510546875725,18297.823897483904,1146.011037836032,-0.03056237424239941,805.4978228096368,3.883833547165404,35.0,0.9,75601.25373877621,0.9531316516984217,0.13136369281482718,7205.794784651125,993.1259872556403,-16.73157462166653,0.06995778863156842,0.20369079763793604,1067.743769395034,0.0
38.0,cruise,44166.500145252685,18262.52133085665,1145.0550309465025,-0.03107798578952779,805.4277762278371,3.880593638031643,35.0,0.9,75896.53092897336,0.9533584453377851,0.13142529812153053,7235.659873297717,997.4724203730286,-24.23476996851545,0.07013584644578866,0.2035643459137833,1066.5450671413932,0.0
39.0,cruise,45310.51221642633,18226.674451079038,1144.090661402539,-0.03156556700183538,805.3575502015298,3.877325387846389,35.0,0.9,76198.28176718889,0.9535872228507528,0.13148745482656618,7266.170789637281,1001.9118131725211,-31.85365344478859,0.07031664964707456,0.2034359444918347,1065.3278826791668,0.0
40.0,cruise,46453.53892261769,18190.316919611607,1143.1174238802935,-0.032024465551180215,805.2871420699274,3.8740270840661792,35.0,0.9,76506.09743986235,0.9538181041153675,0.13155019583638955,7297.290081335508,1006.4392100891794,-39.58107065526214,0.07050002845496374,0.20330571394546854,1064.0933589866836,0.0
41.0,cruise,47595.57199246958,18153.48306761487,1142.13482041713,-0.03245406427119157,805.2165493437304,3.8706970390947086,35.0,0.9,76819.5555562059,0.9540512072633704,0.13161355361239924,7328.97897198338,1011.0494693677388,-47.40972486690985,0.07068580971118511,0.2031737772468893,1062.8426617820032,0.0
42.0,cruise,48736.60272563323,18116.207851668216,1141.1423611355035,-0.032853782531341406,805.1457697083935,3.8673335927360637,35.0,0.9,77138.22028403897,0.9542866485084757,0.13167756012437648,7361.1973706764065,1015.7372639338939,-55.33218642039358,0.07087381710300246,0.20304025960851502,1061.5769780193473,0.0
43.0,cruise,49876.62199774009,18078.526807871032,1140.1395649691294,-0.033223077609141456,805.0748010271651,3.8639351146557073,35.0,0.9,77461.64253790546,0.9545245419741006,0.13174224680373686,7393.903886405572,1020.4970829051583,-63.34090248539376,0.07106387139471743,0.20290528831857058,1060.2975143305982,0.0
44.0,cruise,51015.62026577323,18040.476004340082,1139.1259603902342,-0.033561446056014604,805.0036413438916,3.8605000068451343,35.0,0.9,77789.36022265091,0.9547649995208407,0.1318076444966683,7427.05584757058,1025.323233785044,-71.42820715680166,0.07125579066726158,0.20276899257093586,1059.005495412343,0.0
45.0,cruise,52153.58757385362,18002.09199212374,1138.101086136586,-0.03386842505205733,804.9322888855771,3.857026706085779,35.0,0.9,78120.89853546968,0.9550081305739956,0.13187378341723519,7460.609326911968,1030.2098453826334,-79.58633188738992,0.07144939056577344,0.20263150328932342,1057.70216235916,0.0
46.0,cruise,53290.51482730461,17963.412585116115,1137.0682838353648,-0.03414123838911513,804.8608307020826,3.853526537158395,35.0,0.9,78456.28332479576,0.9552531423989125,0.13194044831608445,7494.5611186950555,1035.1557195087294,-80.03096317253767,0.07145994208030926,0.20262400989617288,1057.6311285530403,0.0
