t_s,phase,x_m,h_m,V_mps,gamma_rad,m_kg,Mach,alpha_deg,phi,q_Pa,CL,CD,L_N,D_N,T_N,mdot_fuel_kgs,M4,Tt4_K,unstart_flag
0.0,cruise,0.0,19000.0,1180.2885205236896,0.0,808.0,4.0,15.0,0.9,71785.53768841416,0.405,0.041683,2907.3142763807737,299.2236567466167,132.50869226022405,0.06641617809282728,0.20620595127420094,1091.5862306366134,0.0
1.0,cruise,1180.185706643914,18997.05525756848,1180.1006549719577,-0.004990440397155244,807.9335788708075,3.9993633232943804,15.0,0.9,71796.02073527862,0.4050191003011686,0.04168676662316903,2907.8759723406597,299.2943960863765,131.88281771849088,0.06643103067865577,0.20619540337943784,1091.4862416067413,0.0
2.0,cruise,2360.1777520240043,18988.222698726862,1179.9596490106367,-0.00997941720778503,807.8671280392725,3.998885453828164,15.0,0.9,71878.91451738973,0.4050334363851551,0.041689593789311606,2911.3363750613175,299.6602748246631,130.00554870570352,0.06647558002085845,0.20616376567144917,1091.1863311696152,0.0
3.0,cruise,3539.992725021827,18973.507164656326,1179.8636104363325,-0.014963834352964027,807.8006178195338,3.9985599789205146,15.0,0.9,72034.1859196765,0.4050432006323846,0.04169151938866159,2917.695721985402,300.3214658916647,126.87791416484279,0.06654980170165999,0.20611105549106215,1090.6866637080357,0.0
4.0,cruise,4719.645427630407,18952.916636953505,1179.810616466413,-0.019940599718499194,807.7340185580547,3.998380382257502,15.0,0.9,72261.97840347722,0.405048588532275,0.04169258194186608,2926.9612356878188,301.2788455868331,122.50161050170638,0.06665365546377074,0.20603730142788798,1089.9875102379317,0.0
5.0,cruise,5899.148911564956,18926.462273773133,1179.7987136949637,-0.024906618951964436,807.6673006495494,3.9983400437428345,15.0,0.9,72562.61032328889,0.405049798687715,0.04169282059880651,2939.1470703703276,302.5339894389989,116.87900926665705,0.06678708502809166,0.20594254344978283,1089.0892496355864,0.0
6.0,cruise,7078.514515216628,18894.15845438557,1179.8259180087293,-0.029858789248897243,807.6004345531143,3.9984322392129847,15.0,0.9,72936.57358722534,0.4050470328236105,0.041692275138266364,2954.274271582655,304.08916936410105,110.01316662486248,0.06695001786897677,0.20582683306245017,1087.9923701505923,0.0
7.0,cruise,8257.751901048845,18856.022832047795,1179.8902144634146,-0.03479399311712217,807.5333908086038,3.9986501400179737,15.0,0.9,73384.53262978882,0.40504049579946083,0.04169098596844284,2972.3707480381377,305.9473520169262,101.90783459347743,0.06714236494756426,0.20569023349882165,1086.6974712010926,0.0
8.0,cruise,9436.869093530187,18812.076395101445,1179.9895571207342,-0.03970909210904395,807.4661400532949,3.9989868124691315,15.0,0.9,73907.32366189694,0.4050303956259261,0.041688994128299905,2993.471254243149,308.11219821791826,92.56747402740275,0.0673640204036124,0.20553281993790662,1085.20526544837,0.0
9.0,cruise,10615.872517691498,18762.343536224813,1180.121868846631,-0.04460092051278191,807.3986530388789,3.999435217155261,15.0,0.9,74505.9541590449,0.40501694348534223,0.04168634128975929,3017.6173824955385,310.5880633193106,81.99726933807716,0.06761486120620888,0.20535467975284877,1083.516581148306,0.0
10.0,cruise,11794.767038387596,18706.85212977712,1180.285041071168,-0.04946627899421158,807.3309006488245,3.999988208128907,15.0,0.9,75181.6025439517,0.4050003537561328,0.0416830697607244,3044.8575626253414,313.3799983562594,70.20314493220488,0.0678947467636645,0.2051559127879688,1081.6323647776135,0.0
11.0,cruise,12973.556955716085,18645.63382204636,1180.4798316036304,-0.05430126109357344,807.2626749571712,4.000648353607153,15.0,0.9,75935.9884088793,0.4049805493917854,0.04167916438545922,3075.259830443619,316.49485436660063,62.275078211255185,0.0685784065778631,0.20499610563280404,1080.4863876407724,0.0
12.0,cruise,14152.249446823349,18578.724845668417,1180.7079603279308,-0.05910164662497102,807.1937077928216,4.001421482279791,15.0,0.9,76771.13610405629,0.4049573555316063,0.04167459072905884,3108.903625785566,319.94056769414186,54.294369017088606,0.06937353068687646,0.20482828303354583,1079.3355970821062,0.0
